Date,Temp,Load
20131224,30.92,1.834913
20131225,26.96,1.7143499999999998
20131226,35.96,1.9244649999999999
20131227,42.08,1.835388
20131228,50.0,1.713387
20131229,44.06,1.7668499999999998
20131230,39.92,2.032798
20131231,24.98,2.014837
20140101,33.08,1.8603599999999998
20140102,30.02,2.11775
20140103,15.079999999999998,2.123847
20140104,37.04,1.8575760000000001
20140105,44.96,1.831099
20140106,48.92,2.290051
20140107,3.9200000000000017,2.366992
20140108,23.0,2.1939189999999997
20140109,33.08,2.009042
20140110,46.04,1.90184
20140111,53.96,1.705163
20140112,37.04,1.805835
20140113,55.040000000000006,1.897037
20140114,48.019999999999996,1.9153440000000002
20140115,39.92,2.009999
20140116,32.0,2.009441
20140117,37.94,1.9107509999999999
20140118,23.0,1.955886
20140119,33.08,1.89537
20140120,35.96,2.008766
20140121,24.08,2.191139
20140122,10.940000000000001,2.280375
20140123,12.920000000000002,2.255625
20140124,17.06,2.253232
20140125,26.6,2.031012
20140126,35.96,2.024672
20140127,42.980000000000004,2.1850639999999997
20140128,6.98,2.323768
20140129,15.98,2.268678
20140130,32.0,2.165492
20140131,37.04,1.9484670000000002
20140201,51.980000000000004,1.703396
20140202,51.980000000000004,1.829926
20140203,30.92,2.009653
20140204,30.92,2.023804
20140205,33.98,2.078332
20140206,23.0,2.064933
20140207,21.02,2.0554479999999997
20140208,21.92,1.933249
20140209,28.04,1.9660909999999998
20140210,21.02,2.1471810000000002
20140211,21.02,2.149179
20140212,28.04,2.1396610000000003
20140213,30.92,2.0695010000000003
20140214,33.98,1.9823060000000001
20140215,26.96,1.916412
20140216,26.060000000000002,1.948404
20140217,32.0,2.0941170000000002
20140218,44.96,1.942809
20140219,50.0,1.917751
20140220,53.96,1.8996659999999999
20140221,55.040000000000006,1.8327950000000002
20140222,51.980000000000004,1.647079
20140223,42.08,1.727505
20140224,32.0,2.000508
20140225,26.060000000000002,2.060524
20140226,24.08,2.081054
20140227,21.02,2.190279
20140228,26.060000000000002,2.129257
20140301,46.94,1.755962
20140302,39.92,1.9279519999999999
20140303,19.04,2.1154430000000004
20140304,33.08,2.029541
20140305,30.92,2.048799
20140306,37.04,1.99375
20140307,53.06,1.859087
20140308,51.08,1.6900609999999998
20140309,39.92,1.7593910000000001
20140310,57.019999999999996,1.83454
20140311,66.02,1.714641
20140312,51.08,1.948191
20140313,26.060000000000002,2.052001
20140314,59.0,1.888876
20140315,55.040000000000006,1.635361
20140316,32.0,1.832692
20140317,35.96,1.925605
20140318,51.08,1.845144
20140319,53.06,1.805525
20140320,46.94,1.881248
20140321,44.96,1.902386
20140322,53.96,1.608509
20140323,35.96,1.798904
20140324,33.08,1.915511
20140325,37.94,1.8791710000000001
20140326,28.04,1.9492829999999999
20140327,53.96,1.900847
20140328,60.980000000000004,1.7504179999999998
20140329,53.96,1.612692
20140330,46.94,1.705489
20140331,60.980000000000004,1.8509120000000001
20140401,77.0,1.73398
20140402,62.06,1.6450930000000001
20140403,59.0,1.717725
20140404,64.94,1.750729
20140405,44.06,1.607942
20140406,55.040000000000006,1.5490840000000001
20140407,53.06,1.742172
20140408,59.0,1.7635889999999999
20140409,57.019999999999996,1.71397
20140410,71.06,1.742433
20140411,66.02,1.764037
20140412,73.03999999999999,1.462401
20140413,82.03999999999999,1.582215
20140414,73.94,1.75423
20140415,64.03999999999999,1.805241
20140416,42.980000000000004,1.783915
20140417,62.96,1.693711
20140418,66.92,1.570116
20140419,64.03999999999999,1.4570509999999999
20140420,71.96000000000001,1.456119
20140421,78.08000000000001,1.7277
20140422,69.08000000000001,1.713275
20140423,48.92,1.687654
20140424,59.0,1.68042
20140425,62.96,1.683989
20140426,69.08000000000001,1.4356300000000002
20140427,62.96,1.436771
20140428,57.92,1.6036890000000001
20140429,59.0,1.664752
20140430,59.0,1.682036
20140501,59.0,1.607637
20140502,55.040000000000006,1.619599
20140503,60.08,1.420874
20140504,62.06,1.453857
20140505,57.92,1.635394
20140506,68.0,1.654154
20140507,73.03999999999999,1.636032
20140508,84.02,1.842991
20140509,82.94,1.973445
20140510,68.0,1.57238
20140511,73.03999999999999,1.560647
20140512,75.92,1.890548
20140513,87.08000000000001,2.275717
20140514,82.94,2.242159
20140515,69.08000000000001,1.8573330000000001
20140516,57.019999999999996,1.583205
20140517,53.96,1.4072049999999998
20140518,62.06,1.442915
20140519,69.98,1.68098
20140520,73.94,1.646609
20140521,73.03999999999999,1.824447
20140522,78.08000000000001,1.948056
20140523,64.03999999999999,1.683898
20140524,75.02,1.524934
20140525,78.08000000000001,1.535143
20140526,82.94,1.801353
20140527,80.96000000000001,2.126121
20140528,80.06,2.194333
20140529,78.08000000000001,2.03821
20140530,77.0,1.963314
20140531,78.08000000000001,1.8080640000000001
20140601,82.03999999999999,1.921857
20140602,78.08000000000001,2.169264
20140603,82.94,2.383676
20140604,73.94,2.049232
20140605,69.08000000000001,1.835046
20140606,75.02,1.810486
20140607,78.98,1.844504
20140608,78.08000000000001,1.858288
20140609,68.0,1.808444
20140610,73.94,1.8953689999999999
20140611,80.06,2.2340109999999997
20140612,80.06,2.1615680000000004
20140613,77.0,2.1223020000000004
20140614,71.06,1.5770170000000001
20140615,80.96000000000001,1.807598
20140616,84.92,2.365716
20140617,87.98,2.566529
20140618,87.98,2.6467910000000003
20140619,75.02,2.098433
20140620,80.06,2.2156219999999998
20140621,73.94,1.7541300000000002
20140622,80.96000000000001,1.9485219999999999
20140623,84.92,2.429384
20140624,86.0,2.596706
20140625,77.0,2.206785
20140626,78.98,2.2687150000000003
20140627,84.92,2.4195450000000003
20140628,87.08000000000001,2.404048
20140629,82.94,2.257476
20140630,84.92,2.622871
20140701,87.08000000000001,2.6926669999999997
20140702,84.92,2.625816
20140703,80.06,2.347918
20140704,73.94,1.682488
20140705,77.0,1.753359
20140706,80.06,1.72162
20140707,84.02,2.348313
20140708,80.96000000000001,2.3112199999999996
20140709,80.96000000000001,2.325971
20140710,80.96000000000001,2.294977
20140711,84.02,2.341862
20140712,84.92,2.2447559999999998
20140713,82.94,2.223389
20140714,80.06,2.281725
20140715,78.08000000000001,2.225142
20140716,71.06,1.9368910000000001
20140717,75.02,1.870274
20140718,75.92,1.944059
20140719,68.0,1.607637
20140720,80.06,1.897003
20140721,84.92,2.447256
20140722,87.08000000000001,2.647563
20140723,84.02,2.645592
20140724,75.92,2.092921
20140725,78.08000000000001,1.994836
20140726,82.94,2.080173
20140727,82.03999999999999,2.057938
20140728,69.08000000000001,1.870192
20140729,66.92,1.697293
20140730,71.96000000000001,1.7885170000000001
20140731,77.0,1.9876530000000001
20140801,82.03999999999999,2.18778
20140802,80.06,2.028181
20140803,75.02,1.783725
20140804,80.96000000000001,2.2537350000000003
20140805,80.06,2.2893890000000003
20140806,78.98,2.215613
20140807,78.08000000000001,2.125053
20140808,78.98,2.064646
20140809,82.03999999999999,2.019904
20140810,84.02,2.13
20140811,73.03999999999999,1.9509770000000002
20140812,80.06,2.1787959999999997
20140813,71.96000000000001,1.884216
20140814,71.06,1.837
20140815,69.98,1.697193
20140816,75.92,1.649942
20140817,77.0,1.8858199999999998
20140818,82.03999999999999,2.295221
20140819,84.02,2.482174
20140820,80.06,2.363871
20140821,77.0,2.28623
20140822,80.96000000000001,2.381116
20140823,80.96000000000001,2.2100410000000004
20140824,78.98,2.1165990000000003
20140825,78.98,2.330295
20140826,82.03999999999999,2.45548
20140827,84.02,2.6105270000000003
20140828,73.94,2.079526
